customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0082-LDZUE,Não Cancelou,Male,0,No,No,1,Yes,No,DSL,No,No,No,Sem Suporte Técnico,No,No,Mensal,Yes,Mailed check,44.3,44.3
0082-OQIQY,Não Cancelou,Male,0,No,No,29,Yes,No,Fibra Óptica,No,No,No,Com Suporte Técnico,Yes,Yes,Mensal,Yes,Electronic check,94.2,2607.6
0083-PIVIK,Não Cancelou,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Com Suporte Técnico,Yes,No,1 Ano,No,Electronic check,81.25,5567.55
0089-IIQKO,Não Cancelou,Female,0,Yes,Yes,39,Yes,Yes,Fibra Óptica,No,No,No,Com Suporte Técnico,Yes,Yes,Mensal,Yes,Credit card (automatic),99.95,3767.4
0093-EXYQL,Não Cancelou,Female,1,No,No,40,Yes,No,Fibra Óptica,No,No,No,Sem Suporte Técnico,Yes,Yes,Mensal,Yes,Electronic check,91.55,3673.6
0093-XWZFY,Cancelou,Male,0,No,No,40,Yes,Yes,Fibra Óptica,No,Yes,Yes,Sem Suporte Técnico,Yes,Yes,Mensal,Yes,Credit card (automatic),104.5,4036.85
0094-OIFMO,Cancelou,Female,1,No,No,11,Yes,No,Fibra Óptica,No,Yes,No,Sem Suporte Técnico,Yes,Yes,Mensal,Yes,Electronic check,95.0,1120.3
0096-BXERS,Não Cancelou,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,No,Sem Suporte Técnico,No,No,Mensal,No,Electronic check,50.35,314.55
0096-FCPUF,Não Cancelou,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,Sem Suporte Técnico,No,Yes,Mensal,Yes,Mailed check,64.5,1888.45
0098-BOWSO,Não Cancelou,Male,0,No,No,27,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,Mensal,Yes,Electronic check,19.4,529.8
0100-DUVFC,Não Cancelou,Male,1,Yes,No,70,Yes,Yes,Fibra Óptica,No,Yes,Yes,Sem Suporte Técnico,Yes,Yes,1 Ano,Yes,Electronic check,104.8,7308.95
0103-CSITQ,Não Cancelou,Female,0,Yes,No,57,Yes,Yes,Fibra Óptica,No,Yes,Yes,Com Suporte Técnico,Yes,Yes,1 Ano,Yes,Bank transfer (automatic),109.4,6252.7
0104-PPXDV,Não Cancelou,Male,0,Yes,No,58,Yes,No,DSL,No,No,Yes,Sem Suporte Técnico,No,No,1 Ano,No,Credit card (automatic),50.3,2878.55
0106-GHRQR,Não Cancelou,Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,Sem Suporte Técnico,No,Yes,Mensal,Yes,Bank transfer (automatic),71.4,1212.1
0106-UGRDO,Não Cancelou,Female,0,Yes,No,69,Yes,Yes,Fibra Óptica,Yes,Yes,Yes,Com Suporte Técnico,Yes,Yes,2 Anos,Yes,Electronic check,116.0,8182.85
0107-WESLM,Cancelou,Male,0,No,No,1,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,Mensal,Yes,Electronic check,19.85,19.85
0107-YHINA,Cancelou,Male,0,No,Yes,1,Yes,Yes,Fibra Óptica,No,No,Yes,Sem Suporte Técnico,Yes,Yes,Mensal,Yes,Electronic check,99.75,99.75
0111-KLBQG,Não Cancelou,Male,1,Yes,Yes,32,Yes,No,Fibra Óptica,No,Yes,No,Sem Suporte Técnico,Yes,Yes,Mensal,Yes,Mailed check,93.95,2861.45
0112-QAWRZ,Não Cancelou,Male,0,Yes,Yes,16,Yes,Yes,Fibra Óptica,No,No,Yes,Sem Suporte Técnico,Yes,No,Mensal,Yes,Bank transfer (automatic),90.8,1442.2
0112-QWPNC,Cancelou,Male,0,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Com Suporte Técnico,Yes,Yes,1 Ano,No,Electronic check,84.35,4059.35
0114-IGABW,Não Cancelou,Female,0,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Com Suporte Técnico,Yes,Yes,2 Anos,No,Bank transfer (automatic),58.25,4145.9
0114-PEGZZ,Não Cancelou,Female,0,No,No,33,Yes,Yes,Fibra Óptica,No,Yes,Yes,Sem Suporte Técnico,Yes,Yes,Mensal,No,Electronic check,107.55,3645.5
0114-RSRRW,Não Cancelou,Female,0,Yes,No,10,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,Mensal,Yes,Bank transfer (automatic),19.95,187.75
0115-TFERT,Cancelou,Male,0,Yes,No,21,Yes,Yes,Fibra Óptica,No,Yes,Yes,Com Suporte Técnico,Yes,Yes,Mensal,Yes,Electronic check,111.2,2317.1
0117-LFRMW,Cancelou,Male,0,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,Sem Suporte Técnico,No,No,Mensal,No,Bank transfer (automatic),40.2,1448.8
0118-JPNOY,Não Cancelou,Female,1,No,No,26,Yes,No,Fibra Óptica,Yes,No,No,Sem Suporte Técnico,Yes,No,Mensal,Yes,Credit card (automatic),85.8,2193.65
0121-SNYRK,Não Cancelou,Male,0,No,No,50,No,No phone service,DSL,Yes,No,No,Com Suporte Técnico,No,No,1 Ano,Yes,Mailed check,35.4,1748.9
0122-OAHPZ,Cancelou,Female,0,No,No,7,Yes,Yes,Fibra Óptica,No,No,No,Sem Suporte Técnico,No,No,Mensal,Yes,Electronic check,73.85,511.25
0123-CRBRT,Não Cancelou,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Com Suporte Técnico,Yes,Yes,2 Anos,No,Mailed check,88.1,5526.75
0125-LZQXK,Cancelou,Male,0,No,No,15,Yes,No,Fibra Óptica,No,No,Yes,Com Suporte Técnico,Yes,Yes,Mensal,Yes,Electronic check,101.35,1553.95
0128-MKWSG,Não Cancelou,Female,0,No,Yes,26,No,No phone service,DSL,Yes,No,No,Com Suporte Técnico,No,Yes,Mensal,No,Mailed check,45.8,1147.0
0129-KPTWJ,Não Cancelou,Male,0,Yes,No,72,Yes,No,Fibra Óptica,No,No,Yes,Sem Suporte Técnico,Yes,Yes,Mensal,Yes,Electronic check,94.65,6747.35
0129-QMPDR,Não Cancelou,Male,0,Yes,Yes,44,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,1 Ano,Yes,Bank transfer (automatic),20.5,865.05
0130-SXOUN,Não Cancelou,Male,0,No,No,66,Yes,Yes,Fibra Óptica,No,Yes,No,Sem Suporte Técnico,No,Yes,Mensal,No,Credit card (automatic),89.4,5976.9
0133-BMFZO,Cancelou,Female,0,No,No,2,Yes,No,Fibra Óptica,Yes,Yes,No,Com Suporte Técnico,No,No,Mensal,Yes,Electronic check,86.25,181.65
0134-XWXCE,Não Cancelou,Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Com Suporte Técnico,Yes,Yes,1 Ano,No,Bank transfer (automatic),74.85,3268.05
0135-NMXAP,Cancelou,Female,0,No,No,12,Yes,Yes,Fibra Óptica,No,Yes,No,Sem Suporte Técnico,Yes,No,Mensal,Yes,Bank transfer (automatic),89.75,1052.4
0136-IFMYD,Não Cancelou,Male,1,Yes,No,69,Yes,Yes,Fibra Óptica,No,Yes,Yes,Com Suporte Técnico,Yes,Yes,2 Anos,Yes,Electronic check,109.95,7634.25
0137-OCGAB,Cancelou,Female,0,No,No,1,Yes,Yes,Fibra Óptica,No,Yes,No,Sem Suporte Técnico,No,No,Mensal,Yes,Mailed check,80.2,80.2
0137-UDEUO,Cancelou,Female,0,No,No,3,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,Mensal,No,Mailed check,19.85,63.75
0139-IVFJG,Não Cancelou,Female,0,Yes,No,2,Yes,No,Fibra Óptica,Yes,Yes,No,Sem Suporte Técnico,Yes,No,Mensal,No,Electronic check,90.35,190.5
0141-YEAYS,Não Cancelou,Female,1,No,No,27,Yes,Yes,Fibra Óptica,No,Yes,Yes,Sem Suporte Técnico,No,No,Mensal,Yes,Bank transfer (automatic),86.45,2401.05
0142-GVYSN,Não Cancelou,Male,0,No,No,26,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,Mensal,Yes,Electronic check,20.3,511.25
0147-ESWWR,Não Cancelou,Female,1,Yes,No,39,Yes,Yes,Fibra Óptica,No,No,No,Com Suporte Técnico,Yes,Yes,Mensal,Yes,Electronic check,101.25,3949.15
0148-DCDOS,Cancelou,Male,0,No,No,25,Yes,Yes,Fibra Óptica,No,No,No,Sem Suporte Técnico,Yes,Yes,Mensal,Yes,Bank transfer (automatic),94.7,2362.1
0151-ONTOV,Cancelou,Female,0,No,No,1,Yes,No,Fibra Óptica,No,No,No,Sem Suporte Técnico,No,No,Mensal,No,Mailed check,70.9,70.9
0156-FVPTA,Cancelou,Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,Com Suporte Técnico,No,No,Mensal,Yes,Electronic check,54.2,1152.7
0164-APGRB,Não Cancelou,Female,0,No,No,72,Yes,Yes,Fibra Óptica,Yes,Yes,Yes,Com Suporte Técnico,Yes,Yes,2 Anos,Yes,Electronic check,114.9,8496.7
0164-XAIRP,Não Cancelou,Female,0,No,No,24,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,2 Anos,Yes,Bank transfer (automatic),19.55,470.2
0168-XZKBB,Não Cancelou,Female,0,Yes,No,19,Yes,Yes,Fibra Óptica,No,No,No,Sem Suporte Técnico,Yes,No,Mensal,Yes,Electronic check,86.85,1564.4
0174-QRVVY,Não Cancelou,Male,0,Yes,Yes,71,Yes,Yes,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,2 Anos,No,Credit card (automatic),25.35,1847.55
0177-PXBAT,Não Cancelou,Male,1,Yes,No,33,Yes,Yes,Fibra Óptica,Yes,No,Yes,Com Suporte Técnico,Yes,Yes,Mensal,Yes,Bank transfer (automatic),109.9,3694.7
0178-CIIKR,Não Cancelou,Female,0,No,No,3,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,Mensal,No,Mailed check,19.95,58.0
0178-SZBHO,Não Cancelou,Male,0,Yes,Yes,47,Yes,Yes,Fibra Óptica,No,Yes,No,Sem Suporte Técnico,Yes,No,Mensal,No,Electronic check,87.2,4017.45
0181-RITDD,Não Cancelou,Male,0,Yes,Yes,62,Yes,No,Fibra Óptica,Yes,Yes,Yes,Com Suporte Técnico,Yes,Yes,2 Anos,No,Mailed check,108.15,6825.65
0186-CAERR,Não Cancelou,Male,0,No,No,71,Yes,Yes,Fibra Óptica,Yes,Yes,Yes,Com Suporte Técnico,Yes,Yes,1 Ano,Yes,Bank transfer (automatic),116.3,8309.55
0187-QSXOE,Não Cancelou,Male,1,Yes,No,7,Yes,No,Fibra Óptica,No,No,No,Sem Suporte Técnico,Yes,Yes,Mensal,Yes,Electronic check,89.0,605.45
0187-WZNAB,Não Cancelou,Female,0,Yes,Yes,27,Yes,No,Fibra Óptica,Yes,No,No,Sem Suporte Técnico,No,No,Mensal,No,Mailed check,74.4,1972.35
0188-GWFLE,Não Cancelou,Male,0,No,No,2,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,Mensal,No,Mailed check,20.05,33.7
0191-EQUUH,Não Cancelou,Female,0,No,Yes,25,No,No phone service,DSL,Yes,No,No,Com Suporte Técnico,No,No,2 Anos,No,Bank transfer (automatic),35.05,844.45
0191-ZHSKZ,Não Cancelou,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,Sem Suporte Técnico,Yes,Yes,Mensal,Yes,Electronic check,74.75,2111.3
0193-ESZXP,Cancelou,Female,1,Yes,No,58,Yes,No,Fibra Óptica,Yes,Yes,No,Com Suporte Técnico,Yes,Yes,1 Ano,Yes,Credit card (automatic),105.5,6205.5
0195-IESCP,Cancelou,Male,0,Yes,No,10,Yes,Yes,Fibra Óptica,No,No,No,Sem Suporte Técnico,No,Yes,Mensal,Yes,Electronic check,85.25,855.3
0196-JTUQI,Não Cancelou,Female,0,No,No,9,Yes,Yes,Fibra Óptica,No,No,No,Sem Suporte Técnico,No,No,Mensal,Yes,Credit card (automatic),75.2,633.85
0196-VULGZ,Cancelou,Female,1,Yes,No,6,Yes,Yes,Fibra Óptica,No,No,No,Sem Suporte Técnico,No,Yes,Mensal,Yes,Electronic check,84.35,474.9
0197-PNKNK,Não Cancelou,Female,0,Yes,Yes,69,Yes,Yes,Fibra Óptica,Yes,No,Yes,Sem Suporte Técnico,No,No,1 Ano,No,Bank transfer (automatic),84.45,5848.6
0201-MIBOL,Não Cancelou,Female,1,No,No,66,Yes,Yes,Fibra Óptica,Yes,No,No,Sem Suporte Técnico,Yes,Yes,2 Anos,Yes,Bank transfer (automatic),102.4,6471.85
0201-OAMXR,Cancelou,Female,0,No,No,70,Yes,Yes,Fibra Óptica,Yes,Yes,Yes,Com Suporte Técnico,Yes,Yes,1 Ano,No,Credit card (automatic),115.55,8127.6
0203-HHYIJ,Cancelou,Male,0,No,No,25,Yes,Yes,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,1 Ano,No,Bank transfer (automatic),25.3,676.35
0206-OYVOC,Não Cancelou,Female,0,Yes,Yes,46,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,2 Anos,Yes,Mailed check,19.25,864.2
0206-TBWLC,Não Cancelou,Female,0,Yes,No,54,Yes,Yes,Fibra Óptica,Yes,Yes,Yes,Com Suporte Técnico,Yes,Yes,1 Ano,Yes,Mailed check,114.65,6049.5
0207-MDKNV,Cancelou,Female,0,No,No,15,Yes,No,Fibra Óptica,Yes,No,Yes,Com Suporte Técnico,Yes,Yes,Mensal,No,Electronic check,105.1,1582.75
0208-BPQEJ,Não Cancelou,Female,0,Yes,Yes,12,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,Mensal,No,Bank transfer (automatic),19.4,198.1
0212-ISBBF,Não Cancelou,Female,0,No,No,22,No,No phone service,DSL,No,Yes,No,Sem Suporte Técnico,Yes,Yes,Mensal,Yes,Electronic check,50.35,1098.85
0214-JHPFW,Não Cancelou,Female,0,Yes,No,70,No,No phone service,DSL,No,Yes,Yes,Com Suporte Técnico,Yes,Yes,2 Anos,No,Bank transfer (automatic),57.8,4039.3
0215-BQKGS,Não Cancelou,Male,0,No,No,30,Yes,No,Fibra Óptica,Yes,Yes,Yes,Sem Suporte Técnico,No,No,Mensal,Yes,Credit card (automatic),84.3,2438.6
0218-QNVAS,Não Cancelou,Male,0,Yes,Yes,71,Yes,Yes,Fibra Óptica,No,Yes,No,Sem Suporte Técnico,Yes,Yes,1 Ano,No,Bank transfer (automatic),100.55,7113.75
0219-QAERP,Não Cancelou,Male,0,Yes,No,30,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,1 Ano,No,Credit card (automatic),19.8,576.65
0219-YTZUE,Cancelou,Male,0,Yes,Yes,4,Yes,Yes,Fibra Óptica,No,Yes,Yes,Sem Suporte Técnico,No,No,Mensal,Yes,Bank transfer (automatic),84.8,371.9
0220-EBGCE,Cancelou,Male,0,No,No,2,Yes,No,Fibra Óptica,No,No,Yes,Sem Suporte Técnico,No,Yes,Mensal,Yes,Electronic check,85.85,167.3
0221-NAUXK,Não Cancelou,Male,0,No,Yes,10,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,1 Ano,Yes,Bank transfer (automatic),19.95,219.5
0221-WMXNQ,Não Cancelou,Male,1,No,No,4,Yes,No,Fibra Óptica,Yes,No,No,Sem Suporte Técnico,No,No,Mensal,No,Electronic check,75.35,273.4
0222-CNVPT,Não Cancelou,Male,1,No,No,52,No,No phone service,DSL,Yes,No,No,Sem Suporte Técnico,Yes,Yes,Mensal,Yes,Credit card (automatic),48.8,2555.05
0224-HJAPT,Cancelou,Male,0,No,No,5,Yes,Yes,DSL,No,No,No,Sem Suporte Técnico,No,No,Mensal,No,Electronic check,47.15,223.15
0224-NIJLP,Não Cancelou,Male,0,Yes,Yes,8,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,2 Anos,No,Mailed check,20.15,165.5
0224-RLWWD,Não Cancelou,Female,1,No,No,2,Yes,No,DSL,No,No,No,Sem Suporte Técnico,No,No,Mensal,Yes,Electronic check,44.3,89.3
0225-ZORZP,Não Cancelou,Male,0,No,No,3,Yes,No,Fibra Óptica,No,Yes,No,Sem Suporte Técnico,No,Yes,Mensal,No,Electronic check,84.3,235.05
0228-MAUWC,Não Cancelou,Male,0,No,No,19,Yes,Yes,DSL,No,No,Yes,Com Suporte Técnico,No,No,Mensal,No,Electronic check,59.55,1144.6
0229-LFJAF,Não Cancelou,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Com Suporte Técnico,No,No,2 Anos,No,Bank transfer (automatic),69.65,4908.25
0230-UBYPQ,Não Cancelou,Male,1,Yes,No,63,No,No phone service,DSL,Yes,No,No,Com Suporte Técnico,No,No,1 Ano,No,Bank transfer (automatic),36.1,2298.9
0230-WEQUW,Não Cancelou,Male,0,Yes,No,66,No,No phone service,DSL,Yes,Yes,Yes,Com Suporte Técnico,Yes,No,2 Anos,Yes,Bank transfer (automatic),56.6,3789.2
0231-LXVAP,Cancelou,Male,0,No,No,1,Yes,No,Fibra Óptica,No,No,No,Com Suporte Técnico,No,No,Mensal,Yes,Electronic check,75.9,75.9
0233-FTHAV,Não Cancelou,Female,0,No,No,60,Yes,Yes,Fibra Óptica,No,No,Yes,Sem Suporte Técnico,No,No,1 Ano,Yes,Bank transfer (automatic),79.2,4765.0
0234-TEVTT,Não Cancelou,Female,0,Yes,Yes,48,No,No phone service,DSL,Yes,No,Yes,Sem Suporte Técnico,No,Yes,1 Ano,No,Credit card (automatic),45.0,2196.3
0235-KGSLC,Cancelou,Female,0,No,No,1,Yes,No,Fibra Óptica,No,No,Yes,Sem Suporte Técnico,Yes,No,Mensal,Yes,Credit card (automatic),85.55,85.55
